大問ID,ハッシュタグ
1,チャット
2,図表
2,Webサイト
3,図表
3,コメント
4,掲示板
4,校則
5,図表
5,交通機関
6,ボランティア
6,学校新聞
7,メール
7,タイムテーブル
7,図表
8,記事
8,スライド
8,物語
9,スポーツ
9,ポスター
10,食品
10,甘味料
117,脳死
117,生命倫理
117,脳科学
117,先端医療
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,
137,